"Metric_Thread_Dia_ISO965-6-2025"
"Dia_mm","Pitch_mm","Class","Thread_Mean_Dia_mm","dmax_mm","dmin_mm"
"20.0","1.5","6g",19.85,19.968,19.732
"20.0","1.5","6f",19.837,19.955,19.719
"20.0","1.5","6e",19.815,19.933,19.697
"20.0","2.0","4h",19.91,20.0,19.82
"20.0","2.0","6h",19.86,20.0,19.72
"20.0","2.0","6g",19.822,19.962,19.682
"20.0","2.0","6f",19.808,19.948,19.668
"20.0","2.0","6e",19.789,19.929,19.649
"20.0","2.5","4h",19.894,20.0,19.788
"20.0","2.5","6h",19.8325,20.0,19.665
"20.0","2.5","6g",19.7905,19.958,19.623
"20.0","2.5","6f",19.7745,19.942,19.607
"20.0","2.5","6e",19.7525,19.92,19.585
"22.0","1.0","4h",21.944,22.0,21.888
"22.0","1.0","6h",21.91,22.0,21.82
"22.0","1.0","6g",21.884,21.974,21.794
"22.0","1.0","6f",21.87,21.96,21.78
"22.0","1.0","6e",21.85,21.94,21.76
"22.0","1.5","4h",21.925,22.0,21.85
"22.0","1.5","6h",21.882,22.0,21.764
"22.0","1.5","6g",21.85,21.968,21.732
"22.0","1.5","6f",21.837,21.955,21.719
"22.0","1.5","6e",21.815,21.933,21.697
"22.0","2.0","4h",21.91,22.0,21.82
"22.0","2.0","6h",21.86,22.0,21.72
"22.0","2.0","6g",21.822,21.962,21.682
"22.0","2.0","6f",21.808,21.948,21.668
"22.0","2.0","6e",21.789,21.929,21.649
"22.0","2.5","4h",21.894,22.0,21.788
"22.0","2.5","6h",21.8325,22.0,21.665
"22.0","2.5","6g",21.7905,21.958,21.623
"22.0","2.5","6f",21.7745,21.942,21.607
"22.0","2.5","6e",21.7525,21.92,21.585
"24.0","1.0","4h",23.944,24.0,23.888
"24.0","1.0","6h",23.91,24.0,23.82
"24.0","1.0","6g",23.884,23.974,23.794
"24.0","1.0","6f",23.87,23.96,23.78
"24.0","1.0","6e",23.85,23.94,23.76
"24.0","1.5","4h",23.925,24.0,23.85
"24.0","1.5","6h",23.882,24.0,23.764
"24.0","1.5","6g",23.85,23.968,23.732
"24.0","1.5","6f",23.837,23.955,23.719
"24.0","1.5","6e",23.815,23.933,23.697
"24.0","2.0","4h",23.91,24.0,23.82
"24.0","2.0","6h",23.86,24.0,23.72
"24.0","2.0","6g",23.822,23.962,23.682
"24.0","2.0","6f",23.808,23.948,23.668
"24.0","2.0","6e",23.789,23.929,23.649
"24.0","3.0","4h",23.882,24.0,23.764
"24.0","3.0","6h",23.8125,24.0,23.625
"24.0","3.0","6g",23.7645,23.952,23.577
"24.0","3.0","6f",23.7495,23.937,23.562
"24.0","3.0","6e",23.7275,23.915,23.54
"25.0","1.0","4h",24.944,25.0,24.888
"25.0","1.0","6h",24.91,25.0,24.82
"25.0","1.0","6g",24.884,24.974,24.794
"25.0","1.0","6f",24.87,24.96,24.78
"25.0","1.0","6e",24.85,24.94,24.76
"25.0","1.5","4h",24.925,25.0,24.85
"25.0","1.5","6h",24.882,25.0,24.764
"25.0","1.5","6g",24.85,24.968,24.732
"25.0","1.5","6f",24.837,24.955,24.719
"25.0","1.5","6e",24.815,24.933,24.697
"25.0","2.0","4h",24.91,25.0,24.82
"25.0","2.0","6h",24.86,25.0,24.72
"25.0","2.0","6g",24.822,24.962,24.682
"25.0","2.0","6f",24.808,24.948,24.668
"25.0","2.0","6e",24.789,24.929,24.649
"26.0","1.5","4h",25.925,26.0,25.85
"26.0","1.5","6h",25.882,26.0,25.764
"26.0","1.5","6g",25.85,25.968,25.732
"26.0","1.5","6f",25.837,25.955,25.719
"26.0","1.5","6e",25.815,25.933,25.697
"27.0","1.0","4h",26.944,27.0,26.888
"27.0","1.0","6h",26.91,27.0,26.82
"27.0","1.0","6g",26.884,26.974,26.794
"27.0","1.0","6f",26.87,26.96,26.78
"27.0","1.0","6e",26.85,26.94,26.76
"27.0","1.5","4h",26.925,27.0,26.85
"27.0","1.5","6h",26.882,27.0,26.764
"27.0","1.5","6g",26.85,26.968,26.732
"27.0","1.5","6f",26.837,26.955,26.719
"27.0","1.5","6e",26.815,26.933,26.697
"27.0","2.0","4h",26.91,27.0,26.82
"27.0","2.0","6h",26.86,27.0,26.72
"27.0","2.0","6g",26.822,26.962,26.682
"27.0","2.0","6f",26.808,26.948,26.668
"27.0","2.0","6e",26.789,26.929,26.649
"27.0","3.0","4h",26.882,27.0,26.764
"27.0","3.0","6h",26.8125,27.0,26.625
"27.0","3.0","6g",26.7645,26.952,26.577
"27.0","3.0","6f",26.7495,26.937,26.562
"27.0","3.0","6e",26.7275,26.915,26.54
"28.0","1.0","4h",27.944,28.0,27.888
"28.0","1.0","6h",27.91,28.0,27.82
"28.0","1.0","6g",27.884,27.974,27.794
"28.0","1.0","6f",27.87,27.96,27.78
"28.0","1.0","6e",27.85,27.94,27.76
"28.0","1.5","4h",27.925,28.0,27.85
"28.0","1.5","6h",27.882,28.0,27.764
"28.0","1.5","6g",27.85,27.968,27.732
"28.0","1.5","6f",27.837,27.955,27.719
"28.0","1.5","6e",27.815,27.933,27.697
"28.0","2.0","4h",27.91,28.0,27.82
"28.0","2.0","6h",27.86,28.0,27.72
"28.0","2.0","6g",27.822,27.962,27.682
"28.0","2.0","6f",27.808,27.948,27.668
"28.0","2.0","6e",27.789,27.929,27.649
"30.0","1.0","4h",29.944,30.0,29.888
"30.0","1.0","6h",29.91,30.0,29.82
"30.0","1.0","6g",29.884,29.974,29.794
"30.0","1.0","6f",29.87,29.96,29.78
"30.0","1.0","6e",29.85,29.94,29.76
"30.0","1.5","4h",29.925,30.0,29.85
"30.0","1.5","6h",29.882,30.0,29.764
"30.0","1.5","6g",29.85,29.968,29.732
"30.0","1.5","6f",29.837,29.955,29.719
"30.0","1.5","6e",29.815,29.933,29.697
"30.0","2.0","4h",29.91,30.0,29.82
"30.0","2.0","6h",29.86,30.0,29.72
"30.0","2.0","6g",29.822,29.962,29.682
"30.0","2.0","6f",29.808,29.948,29.668
"30.0","2.0","6e",29.789,29.929,29.649
"30.0","3.0","4h",29.882,30.0,29.764
"30.0","3.0","6h",29.8125,30.0,29.625
"30.0","3.0","6g",29.7645,29.952,29.577
"30.0","3.0","6f",29.7495,29.937,29.562
"30.0","3.0","6e",29.7275,29.915,29.54
"30.0","3.5","4h",29.8675,30.0,29.735
"30.0","3.5","6h",29.7875,30.0,29.575
"30.0","3.5","6g",29.7345,29.947,29.522
"30.0","3.5","6f",29.7175,29.93,29.505
"30.0","3.5","6e",29.6975,29.91,29.485
"32.0","1.5","4h",31.925,32.0,31.85
"32.0","1.5","6h",31.882,32.0,31.764
"32.0","1.5","6g",31.85,31.968,31.732
"32.0","1.5","6f",31.837,31.955,31.719
"32.0","1.5","6e",31.815,31.933,31.697
"32.0","2.0","4h",31.91,32.0,31.82
"32.0","2.0","6h",31.86,32.0,31.72
"32.0","2.0","6g",31.822,31.962,31.682
"32.0","2.0","6f",31.808,31.948,31.668
"32.0","2.0","6e",31.789,31.929,31.649
"33.0","1.5","4h",32.925,33.0,32.85
"33.0","1.5","6h",32.882,33.0,32.764
"33.0","1.5","6g",32.85,32.968,32.732
"33.0","1.5","6f",32.837,32.955,32.719
"33.0","1.5","6e",32.815,32.933,32.697
"33.0","2.0","4h",32.91,33.0,32.82
"33.0","2.0","6h",32.86,33.0,32.72
"33.0","2.0","6g",32.822,32.962,32.682
"33.0","2.0","6f",32.808,32.948,32.668
"33.0","2.0","6e",32.789,32.929,32.649
"33.0","3.0","4h",32.882,33.0,32.764
"33.0","3.0","6h",32.8125,33.0,32.625
"33.0","3.0","6g",32.7645,32.952,32.577
"33.0","3.0","6f",32.7495,32.937,32.562
"33.0","3.0","6e",32.7275,32.915,32.54
"33.0","3.5","4h",32.8675,33.0,32.735
"33.0","3.5","6h",32.7875,33.0,32.575
"33.0","3.5","6g",32.7345,32.947,32.522
"33.0","3.5","6f",32.7175,32.93,32.505
"33.0","3.5","6e",32.6975,32.91,32.485
"35.0","1.5","4h",34.92160,35.0000,34.8432
"35.0","1.5","6h",34.86000,35.0000,34.7200
"35.0","1.5","6g",34.84400,34.9680,34.7200
"35.0","1.5","6f",34.83500,34.9500,34.7200
"35.0","1.5","6e",34.82250,34.9250,34.7200
"36.0","1.5","4h",35.925,36.0,35.85
"36.0","1.5","6h",35.882,36.0,35.764
"36.0","1.5","6g",35.85,35.968,35.732
"36.0","1.5","6f",35.837,35.955,35.719
"36.0","1.5","6e",35.815,35.933,35.697
"36.0","2.0","4h",35.91,36.0,35.82
"36.0","2.0","6h",35.86,36.0,35.72
"36.0","2.0","6g",35.822,35.962,35.682
"36.0","2.0","6f",35.808,35.948,35.668
"36.0","2.0","6e",35.789,35.929,35.649
"36.0","3.0","4h",35.882,36.0,35.764
"36.0","3.0","6h",35.8125,36.0,35.625
"36.0","3.0","6g",35.7645,35.952,35.577
"36.0","3.0","6f",35.7495,35.937,35.562
"36.0","3.0","6e",35.7275,35.915,35.54
"36.0","4.0","4h",35.85,36.0,35.7
"36.0","4.0","6h",35.7625,36.0,35.525
"36.0","4.0","6g",35.7025,35.94,35.465
"36.0","4.0","6f",35.6875,35.925,35.45
"36.0","4.0","6e",35.6675,35.905,35.43
"38.0","1.5","4h",37.925,38.0,37.85
"38.0","1.5","6h",37.882,38.0,37.764
"38.0","1.5","6g",37.85,37.968,37.732
"38.0","1.5","6f",37.837,37.955,37.719
"38.0","1.5","6e",37.815,37.933,37.697
"39.0","1.5","4h",38.925,39.0,38.85
"39.0","1.5","6h",38.882,39.0,38.764
"39.0","1.5","6g",38.85,38.968,38.732
"39.0","1.5","6f",38.837,38.955,38.719
"39.0","1.5","6e",38.815,38.933,38.697
"39.0","2.0","4h",38.91,39.0,38.82
"39.0","2.0","6h",38.86,39.0,38.72
"39.0","2.0","6g",38.822,38.962,38.682
"39.0","2.0","6f",38.808,38.948,38.668
"39.0","2.0","6e",38.789,38.929,38.649
"39.0","3.0","4h",38.882,39.0,38.764
"39.0","3.0","6h",38.8125,39.0,38.625
"39.0","3.0","6g",38.7645,38.952,38.577
"39.0","3.0","6f",38.7495,38.937,38.562
"39.0","3.0","6e",38.7275,38.915,38.54
"39.0","4.0","4h",38.85,39.0,38.7
"39.0","4.0","6h",38.7625,39.0,38.525
"39.0","4.0","6g",38.7025,38.94,38.465
"39.0","4.0","6f",38.6875,38.925,38.45
"39.0","4.0","6e",38.6675,38.905,38.43
"40.0","1.5","4h",39.925,40.0,39.85
"40.0","1.5","6h",39.882,40.0,39.764
"40.0","1.5","6g",39.85,39.968,39.732
"40.0","1.5","6f",39.837,39.955,39.719
"40.0","1.5","6e",39.815,39.933,39.697
"40.0","2.0","4h",39.91,40.0,39.82
"40.0","2.0","6h",39.86,40.0,39.72
"40.0","2.0","6g",39.822,39.962,39.682
"40.0","2.0","6f",39.808,39.948,39.668
"40.0","2.0","6e",39.789,39.929,39.649
"40.0","3.0","4h",39.882,40.0,39.764
"40.0","3.0","6h",39.8125,40.0,39.625
"40.0","3.0","6g",39.7645,39.952,39.577
"40.0","3.0","6f",39.7495,39.937,39.562
"40.0","3.0","6e",39.7275,39.915,39.54
"42.0","1.5","4h",41.925,42.0,41.85
